MA_KENH_BAN,MA_SAN_PHAM,GIA,VAT,AP_DUNG_TU,NGUON
DC0001,0802B,29000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0901B,12000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0902B,20000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0904B,25000.0,10.0,2015-08-03 00:00:00,V2
DC0001,1001A,0.0,10.0,2019-09-25 00:00:00,V2
DC0001,1002B,0.0,10.0,2019-09-25 00:00:00,V2
DC0001,100385,25000.0,10.0,2019-10-24 00:00:00,V2
DC0001,100385,28000.0,10.0,2021-07-16 00:00:00,V2
DC0001,1003B,0.0,10.0,2019-09-25 00:00:00,V2
DC0001,100529,25000.0,10.0,2019-10-24 00:00:00,V2
DC0001,100529,28000.0,10.0,2021-07-16 00:00:00,V2
DC0001,100529,27500.0,10.0,2022-02-01 00:00:00,V2
DC0001,100666,1.0,10.0,2019-04-13 00:00:00,V2
DC0001,1101B,36000.0,10.0,2015-08-03 00:00:00,V2
DC0001,1102B,99000.0,10.0,2015-08-03 00:00:00,V2
DC0001,1201B,37000.0,10.0,2015-08-03 00:00:00,V2
DC0001,1202B,99000.0,10.0,2015-08-03 00:00:00,V2
DC0001,130014,15000.0,10.0,2019-10-24 00:00:00,V2
DC0001,130014,15600.0,10.0,2021-07-16 00:00:00,V2
DC0001,130014,15400.0,10.0,2022-02-01 00:00:00,V2
DC0001,130021,15000.0,10.0,2019-11-07 00:00:00,V2
DC0001,130021,15600.0,10.0,2021-07-16 00:00:00,V2
DC0001,130021,15400.0,10.0,2022-02-01 00:00:00,V2
DC0001,1301B,0.0,10.0,2019-09-25 00:00:00,V2
DC0001,1302B,15000.0,10.0,2015-08-03 00:00:00,V2
DC0001,140154,16900.0,10.0,2019-06-25 00:00:00,V2
DC0001,2300012,23000.0,,2022-01-22 00:00:00,V1
DC0001,2300014,29000.0,,2022-01-22 00:00:00,V1
DC0001,23HNOT015,29000.0,,2023-04-14 00:00:00,V1
DC0001,4905596005605,44000.0,,2022-01-25 00:00:00,V1
DC0001,4905596005704,44000.0,,2022-01-25 00:00:00,V1
DC0001,4905596005919,44000.0,,2022-01-25 00:00:00,V1
DC0001,140154,19000.0,10.0,2020-09-22 00:00:00,V2
DC0001,4905596134848,36000.0,,2022-01-25 00:00:00,V1
DC0001,4905596312147,36000.0,,2022-01-25 00:00:00,V1
DC0001,4956810220540,37000.0,,2022-01-25 00:00:00,V1
DC0001,4956810233403,140000.0,,2022-01-25 00:00:00,V1
DC0001,4956810233762,87000.0,,2022-01-25 00:00:00,V1
DC0001,4956810233779,87000.0,,2022-01-25 00:00:00,V1
DC0001,4956810234295,40000.0,,2022-01-25 00:00:00,V1
DC0001,4956810234301,40000.0,,2022-01-25 00:00:00,V1
DC0001,4956810235964,40000.0,,2022-01-25 00:00:00,V1
DC0001,4956810236206,70000.0,,2022-01-25 00:00:00,V1
DC0001,4956810236213,70000.0,,2022-01-25 00:00:00,V1
DC0001,4956810802609,40000.0,,2022-01-25 00:00:00,V1
DC0001,4956810840977,40000.0,,2022-01-25 00:00:00,V1
DC0001,4956810840984,40000.0,,2022-01-25 00:00:00,V1
DC0001,4956810840991,32000.0,,2022-01-25 00:00:00,V1
DC0001,4956810860012,40000.0,,2022-01-25 00:00:00,V1
DC0001,4956810860784,50000.0,,2022-01-25 00:00:00,V1
DC0001,4965534258760,40000.0,,2022-01-25 00:00:00,V1
DC0001,4965534457002,40000.0,,2022-01-25 00:00:00,V1
DC0001,4966149436109,40000.0,,2022-01-25 00:00:00,V1
DC0001,4966149533105,170000.0,,2022-01-25 00:00:00,V1
DC0001,4973430020381,43000.0,,2022-01-25 00:00:00,V1
DC0001,4973430882101,40000.0,,2022-01-25 00:00:00,V1
DC0001,505809,19000.0,,2020-02-25 00:00:00,V1
DC0001,508816,29000.0,,2020-02-25 00:00:00,V1
DC0001,603,60500.0,,2019-07-31 00:00:00,V1
DC0001,604,71500.0,,2019-07-31 00:00:00,V1
DC0001,605,66000.0,,2019-07-31 00:00:00,V1
DC0001,606,66000.0,,2019-07-31 00:00:00,V1
DC0001,607,82500.0,,2019-07-31 00:00:00,V1
DC0001,609,82500.0,,2019-07-31 00:00:00,V1
DC0001,610,77000.0,,2019-07-31 00:00:00,V1
DC0001,613,66000.0,,2019-07-31 00:00:00,V1
DC0001,615,77000.0,,2019-07-31 00:00:00,V1
DC0001,616,66000.0,,2019-07-31 00:00:00,V1
DC0001,617,77000.0,,2019-07-31 00:00:00,V1
DC0001,618,71500.0,,2019-07-31 00:00:00,V1
DC0001,619,60500.0,,2019-07-31 00:00:00,V1
DC0001,625,82500.0,,2019-07-31 00:00:00,V1
DC0001,140154,21000.0,10.0,2020-12-12 00:00:00,V2
DC0001,140154,30500.0,10.0,2023-04-11 00:00:00,V2
DC0001,140154,21000.0,10.0,2023-05-08 00:00:00,V2
DC0001,140154,21000.0,5.0,2023-08-01 00:00:00,V2
DC0001,140154-4,20000.0,10.0,2020-01-20 00:00:00,V2
DC0001,140178,9500.0,10.0,2020-09-22 00:00:00,V2
DC0001,140178,10900.0,10.0,2020-12-12 00:00:00,V2
DC0001,140178,15500.0,10.0,2023-04-11 00:00:00,V2
DC0001,140178,10900.0,10.0,2023-05-08 00:00:00,V2
DC0001,140178,10900.0,5.0,2023-08-01 00:00:00,V2
DC0001,158,42000.0,10.0,2022-07-19 00:00:00,V2
DC0001,1968,45000.0,10.0,2018-07-04 00:00:00,V2
DC0001,20AKBAR225,165000.0,10.0,2019-12-05 00:00:00,V2
DC0001,20AKBAR40,35000.0,10.0,2019-12-05 00:00:00,V2
DC0001,20BASILUR100,180000.0,10.0,2019-12-05 00:00:00,V2
DC0001,20BASILUR50,47000.0,10.0,2019-12-05 00:00:00,V2
DC0001,20BATGIAC450,82000.0,10.0,2019-12-05 00:00:00,V2
DC0001,20BELGI278,40000.0,10.0,2019-12-04 00:00:00,V2
DC0001,20BELGI333,56000.0,10.0,2019-12-05 00:00:00,V2
DC0001,626,77000.0,,2019-07-31 00:00:00,V1
DC0001,20BELGI350,103000.0,10.0,2019-12-05 00:00:00,V2
DC0001,627,66000.0,,2019-07-31 00:00:00,V1
